text,label
"Preciso de ajuda, meu token de acesso não está chegando no celular",produtivo
"O boleto que venci ontem está com erro no código de barras",produtivo
"Gostaria de saber o status do meu pedido de aumento de limite",produtivo
"A página de transferência está travando quando tento confirmar",produtivo
"Não consigo baixar o informe de rendimentos para o Imposto de Renda",produtivo
"Desejo cancelar meu agendamento de pagamento para amanhã",produtivo
"O suporte pode verificar por que minha conta foi bloqueada preventivamente?",produtivo
"Recebi um e-mail suspeito em nome do banco, poderiam analisar?",produtivo
"Como faço para atualizar meus dados cadastrais no aplicativo?",produtivo
"Meu cartão chegou mas não consigo fazer o desbloqueio pelo app",produtivo
"Erro inesperado ao tentar gerar a segunda via da fatura",produtivo
"Solicito a revisão da taxa de juros aplicada no meu contrato",produtivo
"O sistema não reconhece meu CPF no momento do login",produtivo
"Gostaria de contestar uma compra que não reconheço no meu extrato",produtivo
"Qual o prazo para a compensação de um DOC realizado hoje?",produtivo
"Obrigado pelo retorno rápido, o atendimento foi ótimo",improdutivo
"Feliz Natal para toda a equipe da AutoU e sucesso no novo ano",improdutivo
"Passando para agradecer pela ajuda de ontem, abraços",improdutivo
"Desejo um excelente feriado a todos os colaboradores",improdutivo
"Bom dia, apenas confirmando o recebimento da mensagem anterior",improdutivo
"Parabéns pela nova interface do sistema, ficou muito intuitiva",improdutivo
"Olá, como vocês estão hoje? Espero que bem",improdutivo
"Apenas um teste de envio de e-mail para validar a caixa",improdutivo
"Que vocês tenham uma ótima semana de trabalho",improdutivo
"Valeu pessoal, até a próxima",improdutivo
"Gostaria de deixar meu elogio ao atendente João pelo suporte",improdutivo
"Favor desconsiderar o e-mail enviado por engano",improdutivo
"Bom dia equipe, seguem meus cumprimentos",improdutivo
"Desejo muita prosperidade para a empresa neste ano",improdutivo
"Agradeço a atenção dispensada no chamado anterior",improdutivo
"O sistema está dando erro 500 ao abrir o extrato consolidado",produtivo
"Minha empresa precisa de um novo acesso para o setor financeiro",produtivo
"Poderiam me enviar o manual de integração da API?",produtivo
"O saldo da minha conta não atualizou após o depósito em dinheiro",produtivo
"Estou com dificuldade para configurar o débito automático",produtivo
"Vocês atendem aos finais de semana para suporte crítico?",produtivo
"Meu arquivo PDF de faturamento não abre, parece estar corrompido",produtivo
"Gostaria de agendar uma reunião para discutir novas soluções",produtivo
